Fluxo;Ano;Mês;Países;UF do Produto;Valor US$ FOB;Quilograma Líquido;Produto_Estrategico;Periodo_Guerra
0;2025;AGOSTO;RUSSIA;GOIAS;0.07303122409603904;0.034819094821387994;1;1
0;2025;MAIO;RUSSIA;GOIAS;0.06904817772128728;0.11754954769864888;1;1
0;2025;FEVEREIRO;RUSSIA;MINAS GERAIS;0.06651598179954878;0.029494323727937758;1;1
0;2025;ABRIL;RUSSIA;ESPIRITO SANTO;0.06073694487972345;0.1585991753873814;1;1
0;2025;AGOSTO;RUSSIA;BAHIA;0.057158460888148514;0.0004340363333639022;1;1
0;2025;JULHO;RUSSIA;PARA;0.05317120762553009;0.09031802096618266;1;1
0;2025;ABRIL;RUSSIA;SAO PAULO;0.05205445418392716;-0.004268995644676671;1;1
0;2025;NOVEMBRO;RUSSIA;PARANA;0.05092700823566314;-0.1430856924465593;1;1
0;2025;SETEMBRO;RUSSIA;GOIAS;0.04618216458305761;-0.17134908102500246;1;1
0;2025;JUNHO;RUSSIA;GOIAS;0.03920539163019621;0.04851238102167228;1;1
0;2025;JULHO;RUSSIA;MATO GROSSO;0.03729406224277847;0.053314965488536877;1;1
0;2025;JULHO;RUSSIA;ESPIRITO SANTO;0.03581884689753748;-0.012863374576124692;1;1
0;2025;JANEIRO;RUSSIA;MINAS GERAIS;0.03490297235156741;0.178826349439545;1;1
0;2025;SETEMBRO;RUSSIA;MINAS GERAIS;0.030516941176588815;-0.1785569086959923;1;1
0;2025;NOVEMBRO;RUSSIA;MATO GROSSO;0.0069134956527331015;-0.06024203827262601;1;1
0;2025;OUTUBRO;RUSSIA;SERGIPE;0.0039236253885012295;0.009184239154414403;1;1
0;2025;ABRIL;RUSSIA;PARA;-0.0009870397608483564;0.11909186298551722;1;1
0;2025;JULHO;RUSSIA;MATO GROSSO;-0.00637133036918572;-0.03054546500690934;1;1
